ItemID,ItemName,Category,StockQuantity,ReorderLevel,Supplier,OrderQuantity,OrderDate,DeliveryDate,Status
ITEM0001,Last Assembly,Engine Parts,22,144,Magneti Marelli,82,2024-11-17,2025-04-01,Shipped
ITEM0002,As Assembly,Chassis Components,387,63,Continental,42,2024-11-19,2025-03-23,Delayed
ITEM0003,Wall Assembly,Engine Parts,25,61,Denso,79,2024-12-15,2025-03-18,Ordered
ITEM0004,Increase Assembly,Body Panels,111,141,Continental,127,2025-02-22,2025-04-02,Shipped
ITEM0005,Action Assembly,Interior Trim,311,85,Bosch,60,2024-11-21,2025-03-28,Delayed
ITEM0006,Identify Assembly,Electricals,152,69,Denso,106,2025-02-14,2025-03-13,Ordered
ITEM0007,Herself Assembly,Engine Parts,204,62,Magneti Marelli,108,2025-01-31,2025-03-09,Delivered
ITEM0008,How Assembly,Engine Parts,383,108,Continental,51,2025-03-05,2025-04-08,Delayed
ITEM0009,Painting Assembly,Engine Parts,292,87,Continental,112,2024-11-28,2025-04-02,Shipped
ITEM0010,Tv Assembly,Engine Parts,33,134,Denso,94,2024-10-09,2025-03-30,Ordered
ITEM0011,Open Assembly,Chassis Components,453,62,Valeo,91,2024-10-12,2025-03-25,Delayed
ITEM0012,Know Assembly,Electricals,93,97,Magneti Marelli,73,2024-12-07,2025-04-06,Delivered
ITEM0013,Everything Assembly,Engine Parts,321,131,Denso,156,2024-12-11,2025-04-02,Shipped
ITEM0014,Would Assembly,Chassis Components,246,98,Magneti Marelli,183,2024-12-07,2025-04-07,Shipped
ITEM0015,Really Assembly,Electricals,441,148,Bosch,78,2024-11-12,2025-03-26,Ordered
ITEM0016,Sense Assembly,Electricals,215,84,Bosch,74,2024-10-10,2025-04-04,Delivered
ITEM0017,Well Assembly,Chassis Components,345,113,Valeo,184,2024-10-23,2025-03-14,Delayed
ITEM0018,Player Assembly,Chassis Components,145,67,Denso,163,2025-03-04,2025-03-26,Delivered
ITEM0019,Model Assembly,Body Panels,229,124,Valeo,112,2024-10-20,2025-04-05,Shipped
ITEM0020,Strong Assembly,Chassis Components,270,113,Bosch,32,2025-02-22,2025-03-19,Ordered
ITEM0021,Myself Assembly,Chassis Components,331,70,Valeo,172,2025-01-19,2025-03-25,Ordered
ITEM0022,Artist Assembly,Interior Trim,205,126,Valeo,155,2024-11-25,2025-03-23,Delivered
ITEM0023,Name Assembly,Body Panels,450,51,Bosch,194,2024-11-17,2025-03-28,Delivered
ITEM0024,Blue Assembly,Electricals,67,87,Valeo,60,2025-02-16,2025-03-20,Delayed
ITEM0025,Rise Assembly,Engine Parts,498,142,Magneti Marelli,148,2025-01-02,2025-03-17,Shipped
ITEM0026,Life Assembly,Body Panels,477,63,Magneti Marelli,183,2025-01-24,2025-03-13,Shipped
ITEM0027,Exactly Assembly,Chassis Components,201,147,Denso,158,2025-02-19,2025-03-27,Ordered
ITEM0028,Hand Assembly,Body Panels,175,112,Bosch,48,2024-11-08,2025-03-14,Delivered
ITEM0029,Purpose Assembly,Electricals,132,57,Denso,165,2025-01-24,2025-03-09,Ordered
ITEM0030,Son Assembly,Engine Parts,384,112,Bosch,156,2025-02-25,2025-03-11,Shipped
ITEM0031,Trouble Assembly,Chassis Components,347,110,Continental,62,2024-12-28,2025-04-02,Delivered
ITEM0032,Thing Assembly,Body Panels,456,127,Valeo,74,2024-10-23,2025-03-22,Shipped
ITEM0033,Scene Assembly,Electricals,214,135,Magneti Marelli,132,2025-01-24,2025-04-03,Delayed
ITEM0034,Citizen Assembly,Engine Parts,136,78,Bosch,106,2025-01-11,2025-03-19,Ordered
